,SE,S,NE,N
2025-10-12 15:00:00,0.7900260478378431,0.7922603759931631,0.8483179536893488,0.8731047606210417
2025-10-12 16:00:00,0.7296416501452796,0.8249565296830615,0.4989409777750191,0.9571635124717716
2025-10-12 17:00:00,0.667285660026507,0.8029715581864972,0.5342331974224335,0.9028365637779656
2025-10-12 18:00:00,0.4297183332531966,0.8157772833043082,0.2647101235597318,0.8211357715234149
2025-10-12 19:00:00,0.27595715652010866,0.5453468084385781,0.30897002603327856,0.6419886839551678
2025-10-12 20:00:00,0.027314821330047992,0.08649715724752008,0.031731195475468967,0.1189480341682955
2025-10-12 21:00:00,0.0,0.005296263490907965,0.0,0.006164077875932749
2025-10-12 22:00:00,0.0,0.0,0.0,0.0
2025-10-12 23:00:00,0.0,0.0,0.0,0.0
2025-10-13 00:00:00,0.0,0.0,0.0,0.0
2025-10-13 01:00:00,0.0,0.0,0.0,0.0
2025-10-13 02:00:00,0.0,0.0,0.0,0.0
2025-10-13 03:00:00,0.0,0.0,0.0,0.0
2025-10-13 04:00:00,0.0,0.0,0.0,0.0
2025-10-13 05:00:00,0.0,0.0,0.0,0.0
2025-10-13 06:00:00,0.0,0.0,0.0,0.0
2025-10-13 07:00:00,0.0,0.0,0.0,0.0
2025-10-13 08:00:00,0.0,0.00026516589578723376,0.0,0.00022927755695961586
2025-10-13 09:00:00,0.12531506369220513,0.10460105508275457,0.05352452125658357,0.09384239111481467
2025-10-13 10:00:00,0.3269949541025905,0.5771686830226456,0.45679788509283115,0.4685142308560224
2025-10-13 11:00:00,0.555393341311064,0.7879639030823217,0.5888962817839639,0.6635533446767999
2025-10-13 12:00:00,0.6868039479689921,0.8235576177422204,0.9770676514377679,0.7997452737089346
2025-10-13 13:00:00,0.8339273540342044,0.8246593316694565,0.6659669462687724,0.913956168557291
2025-10-13 14:00:00,0.7917304130978065,0.8244429815183708,0.0,0.9497012601228636
2025-10-13 15:00:00,0.6488453919730026,0.7699084155386478,0.0,0.6692267608132058
2025-10-13 16:00:00,0.7101558342542029,0.6161616675383133,0.0,0.7105129873727216
2025-10-13 17:00:00,0.8650511331115553,0.4510183630934851,0.6019028075416042,0.8681854036590075
2025-10-13 18:00:00,0.6397708834002415,0.6270770549990945,0.24397913002566,0.7950792278780617
2025-10-13 19:00:00,0.2653565793755992,0.43391250893331235,0.15964823087635985,0.2981462688647258
2025-10-13 20:00:00,0.052859634104989076,0.19318001011215155,0.12779307349614077,0.13808726597312662
2025-10-13 21:00:00,0.00020838190815063398,0.0053516378871489405,0.005083298588077915,0.007042522037564394
2025-10-13 22:00:00,0.0,0.0,0.0,0.0
2025-10-13 23:00:00,0.0,0.0,0.0,0.0
2025-10-14 00:00:00,0.0,0.0,0.0,0.0
2025-10-14 01:00:00,0.0,0.0,0.0,0.0
2025-10-14 02:00:00,0.0,0.0,0.0,0.0
2025-10-14 03:00:00,0.0,0.0,0.0,0.0
2025-10-14 04:00:00,0.0,0.0,0.0,0.0
2025-10-14 05:00:00,0.0,0.0,0.0,0.0
2025-10-14 06:00:00,0.0,0.0,0.0,0.0
2025-10-14 07:00:00,0.0,0.0,0.0,0.0
2025-10-14 08:00:00,0.0027640955273608636,0.0021567672035020667,0.00045253472514117946,0.0
2025-10-14 09:00:00,0.0718032685164317,0.09071244845200122,0.09034038627002614,0.0
2025-10-14 10:00:00,0.2512060075235522,0.480165930969725,0.422487588972052,0.25897244598700536
2025-10-14 11:00:00,0.46890821959979595,0.8167061634259182,0.8057141274899454,0.6531294339980955
2025-10-14 12:00:00,0.6616712825067581,0.8177085913295409,0.9995239575432852,0.7150175581239512
2025-10-14 13:00:00,0.8020768072287368,0.7278470472006725,0.9999224058489391,0.8634273902195068
2025-10-14 14:00:00,0.6697927559799454,0.8132242634748542,0.9649411314977124,0.9377211126839929
2025-10-14 15:00:00,0.5581949447119599,0.48339340698807487,0.9854708175482142,0.8955634182920341
2025-10-14 16:00:00,0.8584718680448266,0.4797866357868315,0.9912136151851634,0.876634262629044
2025-10-14 17:00:00,0.9128600215824163,0.5378037449887804,0.9396390142460145,0.7938836798011041
2025-10-14 18:00:00,0.631537180169377,0.6387837814172406,0.3085359161940833,0.8512320643039825
2025-10-14 19:00:00,0.3089614486581596,0.3290131728300152,0.1361146380929219,0.5520122597301113
2025-10-14 20:00:00,0.06484144721886881,0.1638209345233933,0.11359515804240713,0.1521223094865488
2025-10-14 21:00:00,0.00016503088286266046,0.004526492489606407,0.004333745455060479,0.006251518491964032
2025-10-14 22:00:00,0.0,0.0,0.0,0.0
2025-10-14 23:00:00,0.0,0.0,0.0,0.0
2025-10-15 00:00:00,0.0,0.0,0.0,0.0
2025-10-15 01:00:00,0.0,0.0,0.0,0.0
2025-10-15 02:00:00,0.0,0.0,0.0,0.0
2025-10-15 03:00:00,0.0,0.0,0.0,0.0
2025-10-15 04:00:00,0.0,0.0,0.0,0.0
2025-10-15 05:00:00,0.0,0.0,0.0,0.0
2025-10-15 06:00:00,0.0,0.0,0.0,0.0
2025-10-15 07:00:00,0.0,0.0,0.0,0.0
2025-10-15 08:00:00,0.0017818022632692912,0.0003648238957740092,0.0,0.0008140031678018858
2025-10-15 09:00:00,0.059780344608964114,0.13208041570719092,0.0,0.1583981404356261
2025-10-15 10:00:00,0.25202840490584505,0.30543175074778367,0.0,0.27341415712714245
2025-10-15 11:00:00,0.6707216363444772,0.6225524433201285,0.0,0.7172105584132185
2025-10-15 12:00:00,0.9575670847829649,0.8223248999251723,0.0,0.9450015470309651
2025-10-15 13:00:00,0.9768038938373637,0.8178063299161398,0.0,0.9537906822112967
2025-10-15 14:00:00,0.965831430628324,0.810822050743708,0.08256819186838482,0.9291696436037321
2025-10-15 15:00:00,0.9527738245016915,0.6058601323468179,0.17172491278976573,0.7991747012973177
2025-10-15 16:00:00,0.8866565759741158,0.4926741067744971,0.23741182361627575,0.8490860953620697
2025-10-15 17:00:00,0.7296214308911033,0.7690483144911816,0.19877202493474724,0.5970395860623285
2025-10-15 18:00:00,0.507755851331864,0.623204563826409,0.13737122912211078,0.6351918059238648
2025-10-15 19:00:00,0.2922727472805282,0.2259420981193495,0.12887255261999564,0.20430341502921703
2025-10-15 20:00:00,0.07607067860557634,0.08764820366176314,0.08018474322532407,0.10816095200922313
2025-10-15 21:00:00,0.0001715768180258825,0.0011903385032068744,0.006704400277169134,0.00776975015862907
2025-10-15 22:00:00,0.0,0.0,0.0,0.0
2025-10-15 23:00:00,0.0,0.0,0.0,0.0
2025-10-16 00:00:00,0.0,0.0,0.0,0.0
2025-10-16 01:00:00,0.0,0.0,0.0,0.0
2025-10-16 02:00:00,0.0,0.0,0.0,0.0
2025-10-16 03:00:00,0.0,0.0,0.0,0.0
